Type,Name,Website,,Sector,Location,Funding,Comment,Twitter,lat,lng
Hub,Google Campus London,https://www.campus.co/london/,* [Google Campus London](https://www.campus.co/london/),tech,4-5 Bonhill St; Shoreditch; London EC2A 4BX,n/a,,GoogleStartupUK,51.52261,-0.0857
Pre-seed,CyberASAP,https://ktn-uk.org/programme/cyberasap/,* [CyberASAP](https://ktn-uk.org/programme/cyberasap/),cybersecurity,London; Endinbugh; Oxford,contact on web page,"CyberASAP is funded by the UK Government Department for Digital, Culture Media & Sport (DCMS) and delivered through KTN and Innovate UK.",,51.7377672,-1.0817931
Hub,Digital Catapult,https://www.digicatapult.org.uk/,* [Digital Catapult](https://www.digicatapult.org.uk/),AI; VR; AR; IoT; 5G,101 Euston Road; London; NW1 2RA,info@digicatapult.org.uk,"Accelerating early adoption of advanced digital technology. Digital Catapult specialises in Future Networks, AI and Immersive.",,51.52845,-0.1275
Hub; Gov; Fund; Accelerator,ktn,https://ktn-uk.org/,* [ktn](https://ktn-uk.org/),Various,London (N1 0QH); Endinbugh (EH2 2PJ); Oxford (OX11 0GD),(+44) 03333 403250,,KTNUK,51.53528,-0.10527
Gov; Fund,Innovate UK (part of UKRI),https://www.gov.uk/government/organisations/innovate-uk,* [Innovate UK (part of UKRI)](https://www.gov.uk/government/organisations/innovate-uk),Various,Polaris House; North Star Avenue; Swindon; Wiltshire; SN2 1FL,contact on web page,UK’s Innovation agency. We fund business & research collaborations to accelerate innovation & drive business,innovateuk,51.56657,-1.78462
Gov; Fund,UK Research and Innovation (UKRI),https://www.ukri.org/,* [UK Research and Innovation (UKRI)](https://www.ukri.org/),Various,Polaris House; North Star Avenue; Swindon; Wiltshire; SN2 1FL,contact on web page,"UK Research and Innovation (UKRI) is the national funding agency investing in science and research in the UK. Operating across the whole of the UK with a combined budget of more than £6 billion, UKRI brings together the 7 Research Councils, Innovate UK and Research England.",UKRI_News,51.56657,-1.78462
Gov; Fund,UKRI London Office,https://www.ukri.org/,* [UKRI London Office](https://www.ukri.org/),Various,58 Victoria Embankment; London; EC4Y 0DS,contact on web page,"UK Research and Innovation (UKRI) is the national funding agency investing in science and research in the UK. Operating across the whole of the UK with a combined budget of more than £6 billion, UKRI brings together the 7 Research Councils, Innovate UK and Research England.",UKRI_News,51.51128,-0.10759
Gov; Fund,UKRI Bristol Office,https://www.ukri.org/,* [UKRI Bristol Office](https://www.ukri.org/),Various,Nicholson House; Lime Kiln Close; Stoke Gifford; Bristol; BS34 8SR,contact on web page,"UK Research and Innovation (UKRI) is the national funding agency investing in science and research in the UK. Operating across the whole of the UK with a combined budget of more than £6 billion, UKRI brings together the 7 Research Councils, Innovate UK and Research England.",UKRI_News,51.5088,-2.54863
Association,UK Business Angels,https://www.ukbaa.org.uk/,* [UK Business Angels](https://www.ukbaa.org.uk/),Various,Chancery House; Chancery Lane; London; WC2A 1QS,enquiries@ukbaa.org.uk,The Trade Body for Angel and Early Stage Investing.,UKBAngels,51.51755,-0.11275
Hub; co-working,Level39,https://www.level39.co/,* [Level39](https://www.level39.co/),fintech;Retail; cyber security, One Canada Square; Canary Wharf; London E14 5AB,,,Level39CW,51.5047,-0.01972
