Type,Name,Website,Sector ,Location,Funding
,Google Campus London,https://www.campus.co/london/,tech,"4-5 Bonhill St, Shoreditch, London EC2A 4BX",
,Level39,https://www.level39.co/,"fintech,Retail, cyber security"," One Canada Square, Canary Wharf, London E14 5AB",
"Hub, co-working",White Bear Yard(WBY),http://wbyspace.com/,Digital Tech & Media,"3RD FLOOR, 65 CLERKENWELL ROAD, LONDON EC1R 5BL",
,IDEALondon,https://www.idealondon.co.uk/,digital technology,69 Wilson Street London EC2A 2BB,
Accelerator,ConceptionX,https://conceptionx.org/,Deeptech,69 Wilson Street London EC2A 2BB,None
,LU Inc.,https://www.lusep.co.uk/,fintech,"ATIC, Oakwood Drive, LUSEP, Loughborough, LE11 3QF",
,Cardiff Medicentre,http://www.cardiffmedicentre.co.uk/,"life science, bio tech","Heath Park, Cardiff CF14 4UJ",NA
,London BioScience Innovation Centre (LBIC),https://www.lbic.com/,Life science,2 Royal College Street London NW1 0NH,basis project validation funding available
,The Hive,https://www.ntu.ac.uk/ntu-enterprise,startup business all type,University of Derby & University of Nottingham,
,European Marine Science Park,http://www.europeanmarinesciencepark.co.uk/,Marine Science,Highlands and Islands Enterprise European Marine Science Park Malin House Dunbeg Oban PA37 1SZ,Loans offered against business assests
,Institute of Life Science Incubator,https://www.swansea.ac.uk/medicine/enterprise-and-innovation/,Medical sciences,"Institute of Life Science 2,Swansea University,Singleton Park,Swansea,SA2 8PP



",fund and grant basis research
,Centre for Secure Information Technologies (CSIT),https://www.csitlabs.com/,cybersecurity,"Queen's University,Belfast BT3 9DT",
,3M Buckley Innovation Centre (3MBIC),https://3mbic.com/,applied technology,"Firth Street Huddersfield HD1 3BD

",info@3mbic.com
,London Cleantech Cluster,https://www.londoncleantechcluster.co.uk/,cleantech businesses,NA,info@londoncleantechcluster.co.uk
,Evolve Derby,https://www.derby.ac.uk/business-services/facilities-and-services/starting-a-new-business/,creative industries,"R T C Business Park, The I D Centre Lathkill House,Derby DE24 8UP,",businessgateway@derby.ac.uk 
,Seedcloud,https://www.seedcloud.com/,"fintech, cyber security",126 - 128 New Kings Road London SW6 4LZ,contact on web page
,Innovation Factory,https://www.innovationfactoryni.com/,SME,"385 Springfield Road,Forthriver Business Park,Belfast. BT12 7DG", info@innovationfactoryni.com 
,Seed Haus,https://thisisseedhaus.com/,"Cybersecurity, Robotics, Health Tech","29-30 Maritime St, Leith, Edinburgh EH6 6SE",not investing at the moment
,Newcastle Bio-Incubator,https://www.ncl.ac.uk/london/,Medical sciences,"Newcastle upon Tyne NE1 7RU

", +44 (0)203752 2200
,Imperial College White City Incubator,http://www.imperial.ac.uk/enterprise/business/incubator/,"Deeptech, life science, engineering,manufacturing","Translation and I-HUB Imperial College London White City W12 0BZ



",contact on web page
,MedTech Incubator,http://www.manchestertechtrust.com/directory/workspace/msp-medtech/,digital science technology,Manchester Science Park Pencroft Way Manchester M15 6GZ,contact on web page
,Techtopia,https://www.crunchbase.com/organization/techtopia/technology,Fintech,"121 Great Portland St, Marylebone, London W1W 6QL",
,Centre for Nanohealth Incubator,https://www.swansea.ac.uk/nanohealth/,life sciences,"ILS2, Swansea University, Singleton Park, Swansea, SA2 8PP",nanohealth@swansea.ac.uk
,Cloud Innovation Centre,http://www.cloudcentres.co.uk/,Digital & cloud Technology,"Station Road Church Village CF38 1AF


",support@cloudcentres.co.uk
,Nest,https://myport.port.ac.uk/guidance-and-support/careers-support/student-startup-support,Civ Tech,"Winston Churchill Avenue Portsmouth Hampshire PO1 2UP


",info@port.ac.uk
,Tetricus Incubator,https://completelyoffice.co.uk/scheme/Tetricus-Science-Park-Salisbury/,life science,"Porton Down, Salisbury, SP4 0JQ",contact on web page
,Tech Hub,https://london.techhub.com/,Fintech,"1-15 Clere Street London EC2A 4UY 
",hello@techhub.com
,Innovation Warehouse,https://innovationwarehouse.org/,Fintech,"1 E Poultry Avenue,London, EC1A 9PT",london@innovationwarehouse.org
,MyIncubator,https://wenta.co.uk/about-wenta/,Fintech,"The Wenta Business Centre, Innova Park, Electric Avenue, Enfield, EN3 7XU",info@wenta.co.uk
,ICE Accelerator,https://welshice.org/blog/welsh-ice-launch-accelerator,local walish companies support,"Caerphilly Business Park Van Road Caerphilly CF83 3GG

",contact on web page
,Entrepreneurs for the future,https://e4f.co.uk/,fintech,"97 Vincent Dr, Birmingham B15 2SQ", info@e4f.co.uk
,London Business School Incubator,https://www.london.edu/faculty-and-research/institute-of-innovation-and-entrepreneurship/opportunities-and-resources/scale/incubator-programme,Business,"London Business School Regent's Park London

NW1 4SA



",jkhedair@london.edu
,Edinburgh Business School Incubator,https://www.hw.ac.uk/ebs/business/incubator.htm,Business,"Edinburgh, Scotland UK EH14 4AS
",enquiries@ebs.hw.ac.uk.
,Royal Academy of Engineering’s Enterprise Hub,https://enterprisehub.raeng.org.uk/,Engineering SMEs,"Royal Academy of Engineering Prince Philip House 3 Carlton House Terrace London SW1Y 5DG




",pippa.cox@raeng.org.uk
,Bathtub 2 Boardroom,https://www.bathtub2boardroom.com/,Business,"Tech City College 263-269 City Road London EC1V 1JX




",hello@bathtub2boardroom.com
,CodeBase,https://www.thisiscodebase.com/,Digital tech,"CodeBase Edinburgh , 37a Castle Terrace, Edinburgh, EH1 2EL","Correspondence to CodeBase Ltd, Argyle House, 3 Lady Lawson Street, Edinburgh, EH3 9DR"
,Health Foundry,http://www.healthfoundry.org/,health science,"Canterbury House, Ground Floor 1 Royal Street, London SE1 7LL", hello@healthfoundry.org
,Sussex Innovation Croydon,https://www.sinc.co.uk/,early startups,"12-16 Addiscombe Road Croydon, Greater London CR0 0XT


",info@sinc.co.uk
,Manchester Incubator Building,https://www.umic.co.uk/,life sciences,"48 Grafton St, Manchester M13 9XX",steve@umic.co.uk
,Genesis,https://www.barnsleybic.co.uk/,Commercial business,"Barnsley, South Yorkshire. S75 1JL.",hello@BarnsleyBIC.co.uk
,Bright Red Triangle,https://brightredtriangle.co.uk/,early startups,"9 Sighthill Ct, Edinburgh EH11 4BN",info@brightredtriangle.co.uk
,The Duke of York Young Entrepreneur Centre,https://students.hud.ac.uk/opportunities/enterprise/duke-of-york-centre/,,"82 Firth St, Huddersfield HD1 3BN",
,Portsmouth Technopole,https://www.port.ac.uk/collaborate/coworking-and-office-space,SME,"Winston Churchill Avenue Portsmouth Hampshire PO1 2UP


",infoline@port.ac.uk
University,UCL BaseKX,https://www.ucl.ac.uk/enterprise/,early startups,"University College London, Gower Street, London, WC1E 6BT",enterprise@ucl.ac.uk
,Oxford Startup Incubator,https://innovation.ox.ac.uk/startupincubator/,Fintech,"University College London, Gower Street, London, WC1E 6BT",contact on web page
Network,Oxford Accelerator,http://www.oxfordaccelerator.com/,Various,n/a,contact on web page
,RGU Incubator,https://www.comp.rgu.ac.uk/digital-incubator/,Fintech,"The Robert Gordon University Sir Ian Wood Building Garthdee Road Aberdeen


",soc-office@rgu.ac.uk
,Open Education Challenge,https://www.startus.cc/company/open-education-challenge,Edtech,,contact on web page
,Surrey Research Park,https://surrey-research-park.com/,Fintech,"Surrey Research Park Surrey Technology Centre 40 Occam Road Guildford, Surrey GU2 7YG




",sales@surrey.ac.uk
,Oxford Centre for Innovation,https://www.ocfi.co.uk/,science and tech,"Oxford Centre for Innovation, New Road, Oxford, OX1 1BY",contact on web page
